category,date_time,headline,link
entertainment," July 16, 2020  10:37:37 am",Netflix’s Gunjan Saxena: The Kargil Girl to premiere on August 12,https://indianexpress.com/article/entertainment/web-series/janhvi-kapoor-gunjan-saxena-the-kargil-girl-release-date-6508158/
entertainment," July 16, 2020  4:55:42 pm",Bobby Deol starrer Class of 83 to release on Netflix,https://indianexpress.com/article/entertainment/bollywood/class-of-83-bobby-deol-netflix-6507432/
entertainment," July 16, 2020  2:36:11 pm","A Suitable Boy, Ludo, Tribhanga, Gunjan Saxena: The Kargil Girl and more to release on Netflix",https://indianexpress.com/article/entertainment/bollywood/a-suitable-boy-ludo-tribhanga-and-more-to-release-on-netflix-6508091/
entertainment," July 16, 2020  8:28:24 am",Vijay Sethupathi on Master: My character doesn’t have an iota of goodness,https://indianexpress.com/article/entertainment/tamil/vijay-sethupathi-on-master-my-character-doesnt-have-an-iota-of-goodness-6506754/
entertainment," July 15, 2020  10:48:21 pm",Neeraj Pandey is navigating the tough Bollywood landscape with heartwarming lyrics,https://indianexpress.com/article/entertainment/music/neeraj-pandey-ramprasad-ki-tehrvi-kamyaab-6507639/
entertainment," July 15, 2020  7:06:55 pm",Complaint in Mumbai court against Ekta Kapoor over web show,https://indianexpress.com/article/entertainment/web-series/complaint-in-mumbai-court-against-ekta-kapoor-over-web-show-6507399/
entertainment," July 15, 2020  5:59:44 pm","Bigg Boss 14 to kickstart in September, Salman Khan to be back as host",https://indianexpress.com/article/entertainment/television/salman-khan-bigg-boss-14-september-colors-6507295/
entertainment," July 15, 2020  4:48:23 pm","Actor Dhruva Sarja, wife Prerana Shankar test positive for coronavirus",https://indianexpress.com/article/entertainment/regional/dhruva-sarja-coronavirus-6507166/
entertainment," July 15, 2020  4:18:57 pm",Jim Carrey’s TV show Kidding cancelled after two seasons,https://indianexpress.com/article/entertainment/television/jim-carrey-kidding-cancelled-6507193/
entertainment," July 15, 2020  4:08:06 pm",Kasautii Zindagii Kay actors Aamna Sharif and Erica Fernandes test negative for coronavirus,https://indianexpress.com/article/entertainment/television/aamna-sharif-erica-fernandes-kasautii-zindagii-kay-coronavirus-test-negative-parth-samthaan-6506974/
entertainment," July 15, 2020  3:45:24 pm",Ragini Prajwal on Law: It was the best learning experience,https://indianexpress.com/article/entertainment/regional/ragini-prajwal-on-law-kannada-movie-debut-6506589/
entertainment," July 15, 2020  2:27:45 pm",Dil Bechara song Taare Ginn: Sushant and Sanjana are lovestruck in this romantic ballad,https://indianexpress.com/article/entertainment/bollywood/dil-bechara-song-taare-ginn-ar-rahman-6506566/
entertainment," July 15, 2020  1:39:49 pm",The Old Guard director to helm Viola Davis-starrer The Woman King,https://indianexpress.com/article/entertainment/hollywood/the-old-guard-director-to-helm-viola-davis-starrer-the-woman-king-6506887/
entertainment," July 15, 2020  12:59:39 pm",Isqbaaaz actor Shrenu Parikh tests positive for coronavirus,https://indianexpress.com/article/entertainment/television/shrenu-parikh-coronavirus-6506785/
entertainment," July 15, 2020  12:26:14 pm",Amit Sadh on the success of Breathe Into The Shadows: I have never got this kind of response,https://indianexpress.com/article/entertainment/web-series/amit-sadh-kabir-sawant-breathe-into-the-shadows-success-6506660/
entertainment," July 15, 2020  12:23:25 pm",Sanjay Gupta starts writing vigilante superhero film Rakshak,https://indianexpress.com/article/entertainment/bollywood/sanjay-gupta-starts-writing-vigilante-superhero-film-rakshak-6506779/
entertainment," July 15, 2020  11:19:46 am",Amitabh Bachchan expresses gratitude to doctors and nurses: They fly the flags of humanity,https://indianexpress.com/article/entertainment/bollywood/amitabh-bachchan-expresses-gratitude-to-doctors-and-nurses-6506618/
entertainment," July 15, 2020  4:41:06 pm",Shakuntala Devi movie trailer: It is maths vs motherhood for Vidya Balan,https://indianexpress.com/article/entertainment/bollywood/shakuntala-devi-trailer-vidya-balan-6506622/
entertainment," July 15, 2020  10:34:34 am",Rajkummar Rao to star in Hindi remake of Telugu thriller HIT,https://indianexpress.com/article/entertainment/bollywood/rajkummar-rao-to-star-in-hindi-remake-of-hit-6506582/
