category,date_time,headline,link
lifestyle," May 30, 2020  2:05:17 pm",Check out some of Kylie Jenner’s striking fashion picks,https://indianexpress.com/article/lifestyle/fashion/check-some-of-the-striking-looks-of-kylie-jenner-6434335/
lifestyle," May 30, 2020  1:45:52 pm","Europe prepares post-corona, socially-distanced culture-fest",https://indianexpress.com/article/lifestyle/art-and-culture/europe-prepares-post-corona-socially-distanced-culture-fest-6434221/
india," June 6, 2020  8:59:59 am",Satellite imagery shows how Chinese changed status quo on Pangong bank,https://indianexpress.com/article/india/satellite-imagery-shows-how-chinese-changed-status-quo-on-pangong-bank-6444803/
india," June 6, 2020  4:02:46 am","SC signal to Centre, states: 15 days to transport all stranded migrant workers",https://indianexpress.com/article/india/supreme-court-migrant-workers-transport-6444795/
india," June 6, 2020  7:25:04 am","Transmission slowest ever, Maharashtra load big factor now and later",https://indianexpress.com/article/india/maharashtra-coronavirus-transmission-slow-6444797/
india," June 6, 2020  3:39:34 am",Maharashtra: BEST to resume bus services from June 8,https://indianexpress.com/article/india/maharashtra-best-to-resume-bus-services-from-june-8-6444917/
india," June 6, 2020  3:24:36 am","Transmission slowest ever, Maharashtra load big factor now & later",https://indianexpress.com/article/india/transmission-slowest-ever-maharashtra-load-big-factor-now-later-6444911/
india," June 6, 2020  3:11:39 am","Uddhav Thackeray visits Raigad, announces Rs 100-cr aid",https://indianexpress.com/article/india/uddhav-thackeray-visits-raigad-announces-rs-100-cr-aid-6444897/
india," June 6, 2020  2:48:17 am","Maharashtra: Yuva Sena writes to CBSE & CICSE boards, seeks cancellation of Class X, XII exams",https://indianexpress.com/article/india/maharashtra-yuva-sena-writes-to-cbse-cicse-boards-seeks-cancellation-of-class-x-xii-exams-6444878/
india," June 6, 2020  2:40:01 am","Maharashtra: Paperwork makes way for WhatsApp, email  in govt offices",https://indianexpress.com/article/india/maharashtra-paperwork-makes-way-for-whatsapp-email-in-govt-offices-6444875/
india," June 6, 2020  2:32:12 am",Report to work once a week or face action: Maharashtra Govt tells its staffers,https://indianexpress.com/article/india/report-to-work-once-a-week-or-face-action-maharashtra-govt-tells-its-staffers-6444860/
india," June 6, 2020  7:19:41 am",Chinese media largely quiet on standoff,https://indianexpress.com/article/india/chinese-media-largely-quiet-on-standoff-6444849/
india," June 6, 2020  2:18:09 am","Maharashtra: Cases 80,229, most deaths recorded in a day",https://indianexpress.com/article/india/maharashtra-cases-80229-most-deaths-recorded-in-a-day-coronavirus-6444848/
india," June 6, 2020  2:11:24 am","Ahead of Security Council election, India stresses on ‘dialogue, mutual respect’",https://indianexpress.com/article/india/ahead-of-security-council-election-india-stresses-on-dialogue-mutual-respect-6444847/
india," June 6, 2020  2:06:05 am",Prakash Javadekar calls for creation of 200 urban forests in 5 years,https://indianexpress.com/article/india/prakash-javadekar-calls-for-creation-of-200-urban-forests-in-5-years-6444845/
india," June 6, 2020  2:00:59 am","Approved by Union Cabinet, two agri ordinances have penal provisions to safeguard farmers",https://indianexpress.com/article/india/two-agri-ordinances-have-penal-provisions-to-safeguard-farmers-6444840/
india," June 8, 2020  8:54:46 am","Coronavirus India June 7 Highlights: Govt says ‘fine tuning’ strategy based on emerging knowledge, experience",https://indianexpress.com/article/india/coronavirus-india-news-live-updates-covid-19-tracker-latest-news-corona-virus-cases-deaths-in-india-state-wise-lockdown-today-update-6444777/
